Category,LandType,ImageX,ImageY,Band01,Band02,Band03,Band04,Band05,Band06,Band07,Band08,Band8A,Band09,Band11,Band12
4,Water,591,85,4.0,8.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,Water,591,95,4.0,8.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,Water,601,85,4.0,7.5,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4,Water,601,95,4.0,7.5,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4,Water,1512,586,1.0,4.0,7.0,1.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4,Water,1512,596,1.0,4.0,7.0,2.0,1.0,1.0,1.0,1.0,4.5,2.0,1.0,0.5
4,Water,1522,586,1.0,4.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
4,Water,1522,596,1.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4,Water,1967,463,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Water,1967,473,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Water,1977,463,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
4,Water,1977,473,0.5,5.5,8.0,8.0,7.5,12.5,12.5,13.5,29.5,16.5,12.5,13.5
4,Water,1957,487,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
4,Water,1957,497,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,Water,1967,487,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Water,1967,497,1.5,3.5,8.0,8.0,15.0,25.0,34.5,30.0,31.5,32.0,25.5,34.0
4,Water,2194,512,0.5,9.0,25.5,20.0,36.5,25.5,24.5,21.5,0.0,0.0,0.0,15.0
4,Water,2194,522,0.0,8.5,24.0,18.0,34.0,22.5,21.0,18.5,0.0,0.0,0.0,12.0
4,Water,2204,512,3.0,14.0,30.0,26.5,40.0,30.5,29.0,26.5,1.0,0.0,1.0,19.0
4,Water,2204,522,1.5,11.5,27.0,23.0,36.5,25.0,23.5,21.0,0.5,0.0,0.0,14.0
4,Water,2193,563,0.0,0.0,11.5,4.0,22.0,13.0,11.0,8.5,0.0,0.0,0.0,3.0
4,Water,2193,573,0.0,1.0,13.0,5.0,23.0,14.5,13.0,10.0,0.0,1.0,1.0,5.0
4,Water,2203,563,0.0,0.0,9.0,3.0,17.0,6.5,5.5,3.5,0.0,0.0,0.0,0.5
4,Water,2203,573,0.0,0.0,11.0,3.0,21.0,11.0,10.0,7.0,0.0,0.0,0.0,3.0
4,Water,2242,745,0.0,0.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Water,2242,755,0.0,0.0,3.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Water,2252,745,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
4,Water,2252,755,0.0,0.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Water,1466,837,0.0,1.0,2.0,3.0,3.5,4.0,5.0,6.0,5.5,5.0,3.0,6.0
4,Water,1466,847,0.0,0.5,1.0,2.0,3.5,3.0,3.0,4.0,5.0,3.0,2.5,3.5
4,Water,1476,837,0.0,1.0,2.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,4.5,6.0
4,Water,1476,847,0.0,0.0,1.5,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0
4,Water,159,476,10.5,15.5,18.0,4.0,2.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0
4,Water,159,486,9.0,14.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Water,169,476,10.0,16.0,17.5,4.0,2.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0
4,Water,169,486,9.5,15.0,18.0,5.5,9.5,16.5,18.0,17.5,24.0,17.0,11.0,20.0
5,Snow,273,1404,95.5,92.0,72.5,58.5,56.5,55.5,52.5,50.0,47.0,12.5,11.5,49.5
5,Snow,273,1414,146.0,162.5,158.0,157.5,161.0,160.0,154.0,156.0,200.0,101.0,103.0,151.5
5,Snow,283,1404,88.5,82.5,59.0,48.0,44.5,42.0,39.5,38.0,29.5,11.0,8.5,34.0
5,Snow,283,1414,78.5,73.0,59.5,50.5,54.5,53.5,55.5,48.5,69.5,33.0,30.0,56.0
5,Snow,219,1268,80.5,88.0,92.5,98.0,92.5,93.5,94.5,106.0,112.0,72.5,71.5,97.5
5,Snow,219,1278,61.5,80.0,84.0,91.0,91.0,96.0,100.5,108.0,112.5,69.0,64.0,105.5
5,Snow,229,1268,97.5,77.5,76.0,75.0,86.5,90.0,93.5,84.0,120.5,45.5,44.0,100.0
5,Snow,229,1278,101.0,94.5,102.5,108.5,117.5,117.5,119.5,122.0,137.0,96.5,91.5,125.0
5,Snow,251,1394,199.5,161.5,162.5,168.0,188.0,188.5,189.0,170.0,227.0,46.0,42.5,186.0
5,Snow,251,1404,115.0,95.5,91.5,90.0,88.5,88.0,86.5,95.5,140.0,35.5,33.5,86.0
5,Snow,261,1394,117.5,110.0,111.0,109.5,110.5,117.5,119.5,121.5,132.0,31.0,28.5,121.5
5,Snow,261,1404,167.5,178.5,180.5,187.0,190.0,190.0,191.0,189.5,190.0,37.5,38.5,193.5
5,Snow,199,1451,143.0,151.5,154.0,161.0,163.5,167.5,167.5,171.5,179.0,29.5,25.5,167.5
5,Snow,199,1461,90.5,84.5,71.0,58.5,59.5,59.0,58.5,58.5,57.0,16.0,15.0,57.5
5,Snow,209,1451,70.0,87.0,90.5,97.5,99.0,105.5,108.0,113.5,110.5,34.0,27.5,112.5
5,Snow,209,1461,156.5,160.0,162.0,167.0,171.0,173.5,171.5,179.0,176.5,28.5,27.0,168.0
5,Snow,1,1496,95.5,83.5,63.0,46.0,45.5,46.5,44.5,44.5,35.5,5.0,5.5,42.5
5,Snow,1,1506,121.0,102.5,93.5,75.0,91.5,92.5,92.5,78.0,112.5,31.5,30.0,91.0
5,Snow,11,1496,125.0,123.0,107.0,97.5,89.5,95.0,94.5,105.5,86.5,9.5,9.0,91.5
5,Snow,11,1506,53.5,49.5,39.0,32.5,21.0,20.5,22.5,28.0,22.5,2.5,2.5,20.0
5,Snow,136,1069,95.5,91.0,90.0,91.5,85.5,99.5,105.0,122.5,123.0,34.0,29.0,110.0
5,Snow,136,1079,113.5,121.5,125.0,133.5,135.5,136.5,136.5,147.0,139.0,40.5,37.0,138.0
5,Snow,146,1069,68.5,65.0,55.5,61.5,50.5,51.5,53.0,67.5,66.5,55.0,50.0,54.5
5,Snow,146,1079,54.5,60.5,59.0,61.0,63.0,61.5,61.5,63.5,65.5,37.5,37.5,62.5
5,Snow,194,1150,90.5,57.5,44.0,33.0,61.0,63.0,67.0,39.0,127.5,57.0,54.0,68.5
5,Snow,194,1160,59.0,67.5,70.0,72.5,70.5,74.0,76.0,87.5,92.5,81.0,75.5,84.5
5,Snow,204,1150,41.5,25.5,17.5,11.0,11.5,10.5,11.5,10.0,27.5,8.0,7.0,10.5
5,Snow,204,1160,88.0,103.5,104.0,106.0,104.0,105.0,103.5,109.0,93.0,54.5,54.5,104.0
5,Snow,181,960,76.0,67.0,49.5,36.5,35.5,35.5,35.0,33.0,32.0,14.0,13.0,32.5
5,Snow,181,970,35.5,38.0,49.5,55.5,59.5,60.5,62.0,63.0,63.0,98.0,89.5,65.0
